compound_id	smiles	library	compound_code	compound_name	coadd_project_id	coadd_cc50_ma_007_ug_ml	coadd_mic_gn_034_ug_ml	coadd_mic_gn_042_ug_ml	coadd_mic_gp_020_ug_ml	coadd_mic_gn_001_ug_ml	coadd_mic_gn_003_ug_ml	coadd_mic_fg_001_ug_ml	coadd_mic_fg_002_ug_ml	coadd_hc10_ha_150_ug_ml	coadd_mic_gn_034_um	coadd_mic_gn_042_um	coadd_mic_gn_003_um	coadd_mic_fg_002_um	coadd_mic_gn_001_um	coadd_mic_fg_001_um	coadd_mic_gp_020_um	coadd_cc50_ma_007_um	coadd_hc10_ha_150_um	coadd_mic_gn_211_um	coadd_mic_gn_211_ug_ml	coadd_mic_gp_019_ug_ml	coadd_mic_gp_023_ug_ml	coadd_mic_gp_064_ug_ml	coadd_mic_fg_005_ug_ml	coadd_mic_fg_006_ug_ml	coadd_mic_fg_011_ug_ml	coadd_mic_fg_007_ug_ml	coadd_mic_gp_030_ug_ml	coadd_mic_gp_020_s50_ug_ml	coadd_mic_gp_025_ug_ml	coadd_mic_gn_049_ug_ml	coadd_mic_fg_001_s50_ug_ml	coadd_mic_fg_002_s20_ug_ml	coadd_mic_gn_032_ug_ml	coadd_mic_gn_046_ug_ml	coadd_mic_gn_034_s50_ug_ml	coadd_mic_gn_004_ug_ml	coadd_mic_gn_043_ug_ml	coadd_mic_gn_045_ug_ml	coadd_mic_gn_093_ug_ml	coadd_mic_gn_111_ug_ml	coadd_mic_gn_034_s20_ug_ml	coadd_mic_fg_018_ug_ml	coadd_mic_gp_011_ug_ml	coadd_mic_gp_035_ug_ml	coadd_mic_gn_001_s50_ug_ml
CO-ADD:0149826	C#CCN(C1=NC(NCCCCC2CCN(CC3=CC=CC=C3)CC2)=C(C(C4=CC=CC=C4)=C1C#N)C#N)C	IQOG CSIS (Spain)	ASS280		CO-ADD:PC0146	3.73	32	32	32	32	32	32	8																																						
CO-ADD:0136449	S1CC(Nc2ccccc2)=C(C(Nc(cccc3)c3)=O)C1	NIH/NCI (USA) - Diversity Set V	0215275:01		CO-ADD:PL0011										10	10	10	10	10	10	10	10																													
CO-ADD:0136453	c1(c2ccccc2)n(O)[n+]([O-])c(c3ccccc3)c1C	NIH/NCI (USA) - Diversity Set V	0236254:01		CO-ADD:PL0011										10	10	10	10	10	10	10	10																													
CO-ADD:0135717	n1([H])c(CS)nc(cc(C)c2C)c1c2	NIH/NCI (USA) - Diversity Set V	0097104:01		CO-ADD:PL0011										10	10	10	10	10	10	10	10																													
CO-ADD:0137066	c1(O)ccc(n([H])c(c(C)c(cc[n+](CCN2CCCCC2)c3)c3c4C)c45)c5c1.[O-]C(C)=O	NIH/NCI (USA) - Diversity Set V	0311153:01		CO-ADD:PL0011										10	10	10	10	10	10	10	10																													
CO-ADD:0136780	c1c(c(ccc2)ccc1Sc(ccc(nc(N)n3)c4c3N)c4)c2.c1c(c(ccc2)ccc1Sc(ccc(nc(N)n3)c4c3N)c4)c2.CCO	NIH/NCI (USA) - Diversity Set V	0305780:01		CO-ADD:PL0011										10	10	10	10	5	10	0.1563	5.182																													
CO-ADD:0136474	c1n(C(c2ccccc2)(c3ccccc3)C#C)cnc1	NIH/NCI (USA) - Diversity Set V	0303304:01		CO-ADD:PL0011										10	10	10	10	10	10	10	10																													
CO-ADD:0136475	c1c2c(ccc1)n([H])c(N=C(/NC3=O)c4c3cccc4)n2	NIH/NCI (USA) - Diversity Set V	0305329:01		CO-ADD:PL0011										10	10	10	10	10	10	10	10																													
CO-ADD:0136487	C1CCC(=C(S[H])SN2C(N)(CCCC3)C3)C2=C1	NIH/NCI (USA) - Diversity Set V	0327444:01		CO-ADD:PL0011										10	10	10	10	10	10	10	10																													
CO-ADD:0136488	C1CCCC2(N=C(S)N(c3ccccc3)N2[H])CC1	NIH/NCI (USA) - Diversity Set V	0328130:01		CO-ADD:PL0011										10	10	10	10	10	10	10	10																													
CO-ADD:0136005	n1c(c(ccc2)ccc1OCCN3CC3)c2	NIH/NCI (USA) - Diversity Set V	0109084:01		CO-ADD:PL0011										10	10	10	10	10	10	10	10																													
CO-ADD:0137547	CN1C=C(NC(C(C=C2)=CN=C2/C=C/C3=CC=C(N(C)C)C=C3)=O)C=C1C(NC4=CN(C)C(C(NCCN(C)C)=O)=C4)=O.OC(C(F)(F)F)=O.OC(C(F)(F)F)=O	University of Strathclyde (UK)	AIK-28/33		CO-ADD:PC0079	1.13	32	32	2	32	32	4	2																																						
CO-ADD:0137548	CN1C=C(NC(C(C=C2)=CC=C2/C=C/C3=CC(C=CC=C4)=C4N=C3)=O)C=C1C(NC5=CN(C)C(C(NCCN(C)C)=O)=C5)=O.OC(C(F)(F)F)=O.OC(C(F)(F)F)=O	University of Strathclyde (UK)	AIK-29/85		CO-ADD:PC0079	4.83	32	32	0.5	32	32	32	16																																						
CO-ADD:0137549	O=C(NCCN1CCOCC1)C2=C(C3CCCCC3)SC(NC(C4=CC(NC(C5=CN=C(/C=C/C6=CC=C(OC)C=C6)C=C5)=O)=CN4C)=O)=N2.OC(C(F)(F)F)=O.OC(C(F)(F)F)=O	University of Strathclyde (UK)	AIK-29/20		CO-ADD:PC0079	4.56									32	32	32	32	32	32	32																														
CO-ADD:0137550	O=C(NCCN1CCOCC1)C2=C(C3CCCCC3)SC(NC(C4=CC(NC(C5=CC=C(/C=C/C6=CC7=C(C=CC=C7)N=C6)C=C5)=O)=CN4C)=O)=N2.OC(C(F)(F)F)=O.OC(C(F)(F)F)=O	University of Strathclyde (UK)	AIK-29/19		CO-ADD:PC0079	32	32	32	32	32	32	32	32																																						
CO-ADD:0137556	CN1C=C(NC(C(C=C2)=CC=C2/C=C/C3=CC(C=CC=C4)=C4N=C3)=O)C=C1C(NC5=CN(CCCN=[N+]=[N-])C(C(NCCN6CCOCC6)=O)=C5)=O.OC(C(F)(F)F)=O.OC(C(F)(F)F)=O	University of Strathclyde (UK)	FS-6/44		CO-ADD:PC0079	4.48	32	32	2	32	32	32	16																																						
CO-ADD:0137558	CN1C=C(NC(C(C=C2)=CC=C2/C=C/C3=CC(C=CC=C4)=C4N=C3)=O)C=C1C(NC5=CN(C)C(C(NCCC(N)=N)=O)=C5)=O.OC(C(F)(F)F)=O.OC(C(F)(F)F)=O	University of Strathclyde (UK)	FS-6/24		CO-ADD:PC0079	6.55	32	32	32	32	32	32	8																																						
CO-ADD:0137561	O=C(NCCC(N)=N)C1=CC(NC(C2=CC(NC(C3=CN=C(C=CC=C4)C4=C3)=N)=CN2C)=O)=CN1C.OC(C(F)(F)F)=O.OC(C(F)(F)F)=O.OC(C(F)(F)F)=O	University of Strathclyde (UK)	JA3		CO-ADD:PC0079	32	32	32	32	32	32	32	32																																						
CO-ADD:0137563	O=C(NCCC(N)=N)C1=CC(NC(C2=CC(NC=O)=CN2C)=O)=CN1C.OC(C(F)(F)F)=O	University of Strathclyde (UK)	JA5		CO-ADD:PC0079	32									32	32	32	32	32	32	32																														
CO-ADD:0137565	CN1C=C(NC(C(C=C2)=CC=C2/C=C/C3=CC(C=CC=C4)=C4N=C3)=O)C=C1C(NC5=CN(C)C(C(NCCN(CCC6)C6=O)=O)=C5)=O.OC(C(F)(F)F)=O	University of Strathclyde (UK)	AIK28/63		CO-ADD:PC0079	12.7	32	32	32	32	32	32	32																																						
CO-ADD:0137568	CC(C)CCC1=C(C(NCCCN(C)C)=O)N=C(NC(C2=CC(NC(C3=CC(NC(C)=O)=CN3C)=O)=CN2C)=O)S1	University of Strathclyde (UK)	AIK-28/41		CO-ADD:PC0079	32	32	32	16	32	32	32	16																																						
CO-ADD:0137570	O=C(NC1=CN(C)C(C(NCCN2CCOCC2)=O)=C1)C(C=C3)=CC=C3/C=C/C4=CC5=C(C=CC=C5)N=C4.OC(C(F)(F)F)=O.OC(C(F)(F)F)=O	University of Strathclyde (UK)	AIK-30/31		CO-ADD:PC0079	2.42	32	32	2	32	32	32	32																																						
CO-ADD:0137572	O=C(N([H])C1=CN(C)C(C(N(C2=CN(C)C(C(N([H])CCC(N)=N)=O)=C2)[H])=O)=C1)C3=CC=C(/C=C/C4=CC=CC(OC)=C4)C=C3.OC(C(F)(F)F)=O	University of Strathclyde (UK)	AIK-30/28		CO-ADD:PC0079	15.8	32	32	8	32	32	32	32																																						
CO-ADD:0137574	CC(C)CCC1=C(C(NCCCN(C)C)=O)N=C(NC(C2=CC(NC(C3=CC(NC(N)=N)=CN3C)=O)=CN2C)=O)S1.OC(C(F)(F)F)=O.OC(C(F)(F)F)=O	University of Strathclyde (UK)	AIK-30/26/1		CO-ADD:PC0079	19.9	32	32	16	32	32	32	4																																						
