compound_id	smiles	molecule_name	document_chembl_id	target_summary	source_molecule_ids	chembl_chembl5360622_chembl5363957_ic50_chembl4203	chembl_chembl5360622_chembl5363954_ic50_chembl4224	chembl_chembl5360622_chembl5363958_ic50_chembl2292	chembl_chembl5360622_chembl5363955_ic50_chembl4225	chembl_chembl5360622_chembl5363959_ic50_chembl5543	chembl_chembl5360622_chembl5363961_ic50_chembl4575	chembl_chembl5360622_chembl5363960_ic50_chembl4376	chembl_chembl5360622_chembl5363956_ic50_chembl4226	chembl_chembl5360622_chembl5363962_ic50_chembl1075115	chembl_chembl5360622_chembl5363963_ic50_chembl262	chembl_chembl5360622_chembl5363953_ic50_chembl1907600	chembl_chembl5360622_chembl5363952_ic50_chembl4937
CHEMBL5396991	O=C1NC(NC2CCCCC2(F)F)=N/C1=C\\c1ccc2ncsc2c1		CHEMBL5360622	Dual specificity protein kinase CLK1, Dual specificity protein kinase CLK2, Dual specificity protein kinase CLK3, Dual specificity protein kinase CLK4, Dual specificity tyrosine-phosphorylation-regulated kinase 1A, Dual specificity tyrosine-phosphorylation-regulated kinase 1B, Dual specificity tyrosine-phosphorylation-regulated kinase 2, Dual specificity tyrosine-phosphorylation-regulated kinase 3, Dual specificity tyrosine-phosphorylation-regulated kinase 4, Glycogen synthase kinase-3 beta	CHEMBL5396991	8.4	7.96	8.3	7.55	7.85	6.92	7.04	6.9	6.84	5.25		
CHEMBL5397157	O=C1NC(N[C@@H](CO)CC2CC2)=N/C1=C\\c1ccc2ncsc2c1		CHEMBL5360622	Dual specificity protein kinase CLK1, Dual specificity protein kinase CLK2, Dual specificity protein kinase CLK3, Dual specificity protein kinase CLK4, Dual specificity tyrosine-phosphorylation-regulated kinase 1A, Dual specificity tyrosine-phosphorylation-regulated kinase 1B, Dual specificity tyrosine-phosphorylation-regulated kinase 2, Dual specificity tyrosine-phosphorylation-regulated kinase 3, Dual specificity tyrosine-phosphorylation-regulated kinase 4, Glycogen synthase kinase-3 beta	CHEMBL5397157	8.15	7.77	6.73	7.38	7.36	5.89	5.09	6.16	6.14	5.36		
CHEMBL5397281	O=C1NC(N[C@@H]2CCCOC2)=N/C1=C\\c1ccc2ncsc2c1		CHEMBL5360622	Dual specificity protein kinase CLK1, Dual specificity protein kinase CLK2, Dual specificity protein kinase CLK3, Dual specificity protein kinase CLK4, Dual specificity tyrosine-phosphorylation-regulated kinase 1A, Dual specificity tyrosine-phosphorylation-regulated kinase 1B, Dual specificity tyrosine-phosphorylation-regulated kinase 2, Dual specificity tyrosine-phosphorylation-regulated kinase 3, Dual specificity tyrosine-phosphorylation-regulated kinase 4, Glycogen synthase kinase-3 beta	CHEMBL5397281	7.85	7.41	7.27	6.63	7.13	5.79	5.93	6.22	5.73	5.04		
CHEMBL5397343	CN1CCN(c2ccc(NC3=N/C(=C\\c4ccc5ncsc5c4)C(=O)N3)cc2)CC1		CHEMBL5360622	Casein kinase I isoform epsilon, Dual specificity protein kinase CLK1, Dual specificity protein kinase CLK2, Dual specificity protein kinase CLK3, Dual specificity protein kinase CLK4, Dual specificity tyrosine-phosphorylation-regulated kinase 1A, Dual specificity tyrosine-phosphorylation-regulated kinase 1B, Dual specificity tyrosine-phosphorylation-regulated kinase 2, Dual specificity tyrosine-phosphorylation-regulated kinase 3, Dual specificity tyrosine-phosphorylation-regulated kinase 4, Gly	CHEMBL5397343	8.15	7.96	7.8	7.55	7.8	7.24	7.21	5.98	6.61	6		5.46
CHEMBL5398161	O=C1NC(N[C@@H]2c3ccccc3C[C@H]2O)=N/C1=C\\c1ccc2ncsc2c1		CHEMBL5360622	Dual specificity protein kinase CLK1, Dual specificity protein kinase CLK2, Dual specificity protein kinase CLK3, Dual specificity protein kinase CLK4, Dual specificity tyrosine-phosphorylation-regulated kinase 1A, Dual specificity tyrosine-phosphorylation-regulated kinase 1B, Dual specificity tyrosine-phosphorylation-regulated kinase 2, Dual specificity tyrosine-phosphorylation-regulated kinase 3, Dual specificity tyrosine-phosphorylation-regulated kinase 4	CHEMBL5398161	7.96	7.47	6.41	7.08	6.94	6.09	6.41	5.69	6.75			
CHEMBL5398195	CN1CCN(c2cnc(NC3=N/C(=C\\c4ccc5ncsc5c4)C(=O)N3)nc2)CC1		CHEMBL5360622	Dual specificity protein kinase CLK1, Dual specificity protein kinase CLK2, Dual specificity protein kinase CLK3, Dual specificity protein kinase CLK4, Dual specificity tyrosine-phosphorylation-regulated kinase 1A, Dual specificity tyrosine-phosphorylation-regulated kinase 1B, Dual specificity tyrosine-phosphorylation-regulated kinase 2, Dual specificity tyrosine-phosphorylation-regulated kinase 3	CHEMBL5398195	6.99	6.43	6.51	6	5.87	6.35	5.13	5.29				
CHEMBL5398474	O=C1NC(NCCCn2ccnc2)=N/C1=C\\c1ccc2ncsc2c1		CHEMBL5360622	Dual specificity protein kinase CLK1, Dual specificity protein kinase CLK2, Dual specificity protein kinase CLK3, Dual specificity protein kinase CLK4, Dual specificity tyrosine-phosphorylation-regulated kinase 1A, Dual specificity tyrosine-phosphorylation-regulated kinase 1B, Dual specificity tyrosine-phosphorylation-regulated kinase 2, Dual specificity tyrosine-phosphorylation-regulated kinase 3, Dual specificity tyrosine-phosphorylation-regulated kinase 4, Glycogen synthase kinase-3 beta	CHEMBL5398474	7.92	7.58	6.84	6.67	6.81	6.39	6.23	5.75	5.98	5.21		
CHEMBL5398512	O=C1NC(NCC(O)Cc2ccccc2)=N/C1=C\\c1ccc2ncsc2c1		CHEMBL5360622	Dual specificity protein kinase CLK1, Dual specificity protein kinase CLK2, Dual specificity protein kinase CLK3, Dual specificity protein kinase CLK4, Dual specificity tyrosine-phosphorylation-regulated kinase 1A, Dual specificity tyrosine-phosphorylation-regulated kinase 1B, Dual specificity tyrosine-phosphorylation-regulated kinase 2, Dual specificity tyrosine-phosphorylation-regulated kinase 3, Dual specificity tyrosine-phosphorylation-regulated kinase 4, Glycogen synthase kinase-3 beta	CHEMBL5398512	8.22	7.75	6.92	7.05	6.65	5.93	6.28	6.33	6.54	5.32		
CHEMBL5398602	O=C1NC(N[C@H]2CCCC[C@@H]2O)=N/C1=C\\c1ccc2ncsc2c1		CHEMBL5360622	Dual specificity protein kinase CLK1, Dual specificity protein kinase CLK2, Dual specificity protein kinase CLK3, Dual specificity protein kinase CLK4, Dual specificity tyrosine-phosphorylation-regulated kinase 1A, Dual specificity tyrosine-phosphorylation-regulated kinase 1B, Dual specificity tyrosine-phosphorylation-regulated kinase 2, Dual specificity tyrosine-phosphorylation-regulated kinase 3, Dual specificity tyrosine-phosphorylation-regulated kinase 4	CHEMBL5398602	7.15	6.69	6.62	5.87	6.11	5.63	5.94	5.36	5.7			
CHEMBL5398683	CC(C)C[C@H](COC(C)(C)C)NC1=N/C(=C\\c2ccc3ncsc3c2)C(=O)N1		CHEMBL5360622	Dual specificity protein kinase CLK1, Dual specificity protein kinase CLK2, Dual specificity protein kinase CLK3, Dual specificity protein kinase CLK4, Dual specificity tyrosine-phosphorylation-regulated kinase 1A, Dual specificity tyrosine-phosphorylation-regulated kinase 1B, Dual specificity tyrosine-phosphorylation-regulated kinase 2, Dual specificity tyrosine-phosphorylation-regulated kinase 3, Glycogen synthase kinase-3 beta	CHEMBL5398683	7.6	7.07	7.16	6.08	6.47	5.7	5.6	5.37		5		
CHEMBL5399810	CO[C@H]1Cc2ccccc2[C@H]1NC1=N/C(=C\\c2ccc3ncsc3c2)C(=O)N1		CHEMBL5360622	Dual specificity protein kinase CLK1, Dual specificity protein kinase CLK2, Dual specificity protein kinase CLK4, Dual specificity tyrosine-phosphorylation-regulated kinase 1A, Dual specificity tyrosine-phosphorylation-regulated kinase 1B, Dual specificity tyrosine-phosphorylation-regulated kinase 2, Dual specificity tyrosine-phosphorylation-regulated kinase 4	CHEMBL5399810	7	6.68	6.57	5.46	6.04		5.29		5.17			
CHEMBL5400230	O=C1NC(NC23CC4CC(CC2C4)C3)=N/C1=C\\c1ccc2ncsc2c1		CHEMBL5360622	Casein kinase I isoform epsilon, Cyclin-dependent kinase 5/CDK5 activator 1, Dual specificity protein kinase CLK1, Dual specificity protein kinase CLK2, Dual specificity protein kinase CLK3, Dual specificity protein kinase CLK4, Dual specificity tyrosine-phosphorylation-regulated kinase 1A, Dual specificity tyrosine-phosphorylation-regulated kinase 1B, Dual specificity tyrosine-phosphorylation-regulated kinase 2, Dual specificity tyrosine-phosphorylation-regulated kinase 3, Dual specificity tyro	CHEMBL5400230	8.15	8	9	9	9	7.38	7.55	6.94	7.48	6.07	5.49	5.61
CHEMBL5400270	O=C1NC(NC2CC2)=N/C1=C\\c1ccc2ncsc2c1		CHEMBL5360622	Dual specificity protein kinase CLK1, Dual specificity protein kinase CLK2, Dual specificity protein kinase CLK3, Dual specificity protein kinase CLK4, Dual specificity tyrosine-phosphorylation-regulated kinase 1A, Dual specificity tyrosine-phosphorylation-regulated kinase 1B, Dual specificity tyrosine-phosphorylation-regulated kinase 2, Dual specificity tyrosine-phosphorylation-regulated kinase 3, Dual specificity tyrosine-phosphorylation-regulated kinase 4, Glycogen synthase kinase-3 beta	CHEMBL5400270	7.21	6.84	6.37	5.84	6.31	6.02	5.87	5.8	5.51	5.23		
CHEMBL5401073	O=C1NC(NCCc2ccccn2)=N/C1=C\\c1ccc2ncsc2c1		CHEMBL5360622	Dual specificity protein kinase CLK1, Dual specificity protein kinase CLK2, Dual specificity protein kinase CLK3, Dual specificity protein kinase CLK4, Dual specificity tyrosine-phosphorylation-regulated kinase 1A, Dual specificity tyrosine-phosphorylation-regulated kinase 1B, Dual specificity tyrosine-phosphorylation-regulated kinase 2, Dual specificity tyrosine-phosphorylation-regulated kinase 3, Dual specificity tyrosine-phosphorylation-regulated kinase 4, Glycogen synthase kinase-3 beta	CHEMBL5401073	7.47	7.08	6.9	6.46	6.65	5.64	5.87	6.16	5.67	5.43		
