compound_id	smiles	series	canonical_postera_id	fragalysis_id	acrylamide	chloroacetamide	mpro_fluorescence_pIC50	mpro_fluorescence_IC50_uM	mpro_rapidfire_pIC50	mpro_rapidfire_IC50_uM	trypsin_IC50_uM	trypsin_mpro_selectivity_ratio
JIN-POS-6dc588a4-13	O=C(Cc1cccc(Cl)c1)Nc1cncc2c(F)cccc12	3-aminopyridine-like	JIN-POS-6dc588a4-13		False	False	6.05082	0.889562				
JIN-POS-6dc588a4-14	O=C(Cc1cccc(Cl)c1)Nc1cncc2cc[nH]c12	3-aminopyridine-like	JIN-POS-6dc588a4-14		False	False	5.72194	1.89695				
JIN-POS-6dc588a4-20	O=C(Cc1cccc(Cl)c1)Nc1cncc2c1NCCC2	3-aminopyridine-like	JIN-POS-6dc588a4-20		False	False	4.42024	37.9978				
JIN-POS-6dc588a4-21	O=C(Cc1cccc(Cl)c1)Nc1c(O)cnc2ccccc12	3-aminopyridine-like	JIN-POS-6dc588a4-21		False	False	5.07376	8.43804				
JIN-POS-6dc588a4-22	O=C(Cc1cccc(Cl)c1)Nc1cncc2sccc12	3-aminopyridine-like	JIN-POS-6dc588a4-22		False	False	6.37205	0.424567				
JIN-POS-6dc588a4-23	COc1ncc(NC(=O)Cc2cccc(Cl)c2)c2ccccc12	3-aminopyridine-like	JIN-POS-6dc588a4-23		False	False	4.00218	99.5				
JIN-POS-6dc588a4-24	N#Cc1ncc(NC(=O)Cc2cccc(Cl)c2)c2ccccc12	3-aminopyridine-like	JIN-POS-6dc588a4-24		False	False	4.18079	65.9491				
ALP-POS-42f3de95-1	CC(C)(C)c1ccc(N(C(=O)c2cocn2)C(C(=O)NCCc2nnn[nH]2)c2cccnc2)cc1	Ugi	ALP-POS-42f3de95-1		False	False	4.00218	99.5				
ALP-POS-42f3de95-2	CC(C)(C)c1ccc(N(C(=O)c2cocn2)C(C(=O)NCCc2c[nH]cn2)c2cccnc2)cc1	Ugi	ALP-POS-42f3de95-2		False	False	4.84006	14.4523				
ALP-POS-42f3de95-3	CC(C)(C)c1ccc(N(C(=O)c2cocn2)C(C(=O)N2CCC(c3cccc(F)c3)CC2)c2cccnc2)cc1	Unassigned	ALP-POS-42f3de95-3		False	False	5.02426	9.45674				
ALP-POS-95f71980-2	CC(C)(C)c1ccc(N(C(=O)c2ccns2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)cc1	Ugi	ALP-POS-95f71980-2		False	False	4.29166	51.09				
ALP-POS-95f71980-3	Cc1cnnn1-c1ccc(N(C(=O)c2cocn2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)cc1	Ugi	ALP-POS-95f71980-3		False	False	4.54639	28.4188				
ALP-POS-95f71980-4	CC(C)(C)c1ccc(N(C(=O)c2ccon2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)cc1	Ugi	ALP-POS-95f71980-4		False	False	5.3708	4.25799				
ALP-POS-95f71980-6	CC(C)(C)c1ccc(N(C(=O)c2ccc(O)c(=O)o2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)cc1	Ugi	ALP-POS-95f71980-6		False	False	4.11658	76.4583				
ALP-POS-95f71980-10	O=C(NCCc1cccc(F)c1)C(c1cccnc1)N(C(=O)c1cocn1)c1ccc(N2CCCC2=O)cc1	Ugi	ALP-POS-95f71980-10		False	False	4.11571	76.6101				
ALP-POS-95f71980-11	CC(C)(C)c1ccc(N(C(=O)c2coc(CS(C)(=O)=O)n2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)cc1	Unassigned	ALP-POS-95f71980-11		False	False	4.40625	39.2415				
ALP-POS-95f71980-14	CC(C)(C)c1cnc(N(C(=O)c2cocn2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)o1	Ugi	ALP-POS-95f71980-14		False	False	4.48899	32.4345				
